,Unnamed: 0,Unnamed: 0.1,dvars,fd,mean_fd,num_fd,outlier,perc_fd,quality,scan,session,subject
0,0.0,0.0,1.215702132393169,,,,0.0017552419354838714,,0.007102361370967742,3.0,2.0,25982.0
1,1.0,1.0,1.1004566589341906,,,,0.001123225806451612,,0.006583699112903222,3.0,2.0,25983.0
2,2.0,2.0,1.0496921753479405,,,,0.00063541935483871,,0.007443511935483869,3.0,2.0,26017.0
0,,,1.3432054945156233,,,,0.006579666666666667,,0.006992755875000001,3.0,2.0,0026044
1,,,1.2493375581349497,,,,0.0005230000000000006,,0.006068457333333333,3.0,2.0,0026045
