,Unnamed: 0,Unnamed: 0.1,dvars,fd,mean_fd,num_fd,outlier,perc_fd,quality,scan,session,subject
0,0.0,0.0,0.9460088882062736,,,,0.0051640000000000115,,0.0051032669666666655,1.0,7.0,25427.0
1,1.0,1.0,0.8746124342378081,,,,0.0038199666666666366,,0.0048143739666666645,1.0,7.0,25428.0
2,2.0,2.0,0.8152081738592455,,,,0.007883600000000036,,0.005681010433333333,1.0,7.0,25429.0
3,3.0,3.0,0.8069855154111594,,,,0.00453803333333334,,0.005268939233333333,1.0,7.0,25430.0
4,4.0,4.0,0.8201008375386556,,,,0.005122166666666656,,0.006542086866666664,1.0,7.0,25431.0
5,5.0,5.0,0.9937264884110534,,,,0.004232533333333337,,0.003942837133333332,1.0,7.0,25432.0
6,6.0,6.0,0.979706349574516,,,,0.00414686666666665,,0.006400194233333336,1.0,7.0,25433.0
7,7.0,7.0,0.993961070955115,,,,0.0062010999999999785,,0.003704517900000004,1.0,7.0,25434.0
8,8.0,8.0,0.8130464719714465,,,,0.0048474333333333106,,0.004650656699999998,1.0,7.0,25435.0
9,9.0,9.0,0.8716947846027021,,,,0.006468533333333347,,0.003171700986666664,1.0,7.0,25436.0
10,10.0,10.0,0.9860260121111252,,,,0.00406943333333335,,0.00397342716666667,1.0,7.0,25437.0
11,11.0,11.0,0.8914788839359832,,,,0.005611666666666656,,0.005049994333333334,1.0,7.0,25438.0
12,12.0,12.0,0.9526866097430184,,,,0.006335433333333321,,0.005060005566666664,1.0,7.0,25439.0
13,13.0,13.0,0.8888099588805274,,,,0.003733633333333328,,0.003462699733333335,1.0,7.0,25440.0
14,14.0,14.0,1.0907636525764048,,,,0.00394730000000002,,0.00318802206666667,1.0,7.0,25441.0
15,15.0,15.0,1.049663310088867,,,,0.004560633333333363,,0.0022163105999999985,1.0,7.0,25442.0
16,16.0,16.0,0.8937710290849061,,,,0.003854466666666682,,0.003018176399999998,1.0,7.0,25443.0
17,17.0,17.0,0.9352642718776322,,,,0.004573500000000029,,0.003358354066666663,1.0,7.0,25444.0
18,18.0,18.0,0.7909291091897127,,,,0.0039933999999999855,,0.004589381133333329,1.0,7.0,25445.0
19,19.0,19.0,0.9421757208725572,,,,0.004369633333333321,,0.002884770433333334,1.0,7.0,25446.0
20,20.0,20.0,1.0834616078550103,,,,0.0042999333333333415,,0.0032917080000000004,1.0,7.0,25447.0
21,21.0,21.0,0.9897017851737964,,,,0.004471366666666659,,0.0030880200333333364,1.0,7.0,25448.0
22,22.0,22.0,0.946069874114359,,,,0.005724866666666679,,0.0033730990333333327,1.0,7.0,25449.0
23,23.0,23.0,0.850319727592463,,,,0.004399633333333303,,0.003608189366666667,1.0,7.0,25450.0
24,24.0,24.0,0.8289552821359061,,,,0.003779866666666653,,0.004264657800000003,1.0,7.0,25451.0
25,25.0,25.0,1.0478603855333737,,,,0.003856566666666646,,0.004405030166666667,1.0,7.0,25452.0
26,26.0,26.0,0.8860561643064722,,,,0.004225266666666644,,0.0041448073333333335,1.0,7.0,25453.0
27,27.0,27.0,0.9938353138304384,,,,0.009629566666666695,,0.007210704766666674,1.0,7.0,25454.0
28,28.0,28.0,0.9991474377611628,,,,0.0061903333333333255,,0.0050834258333333285,1.0,7.0,25455.0
29,29.0,29.0,0.9234539873191322,,,,0.0113537666666667,,0.005862800599999999,1.0,7.0,25456.0
30,30.0,30.0,1.0473327903676088,,,,0.0006717419354838713,,0.0067978060645161285,1.0,7.0,26017.0
0,,,1.3542835666782818,,,,0.014145541666666662,,0.007628962541666668,1.0,7.0,0026044
1,,,1.2733537231199905,,,,0.0009149166666666674,,0.004980373666666668,1.0,7.0,0026045
